[13375330793923795317L, 12027533560444180696L, 9386556683037126086L, 16513814405118543412L, 15759538036384567958L, 12520738552360333812L, 16590731238126089138L, 10192691073041572256L, 18355015255501067911L, 13136496169547065335L, 11624180277907892035L, 12066310814168104711L, 16237094209772189751L]
[11543660212420998584L, 12211770860104558032L, 18021076176680959225L, 16402523342407044869L, 11156862202771678478L, 13100484264019263461L, 12551503621712738721L, 11979690500574319759L, 11408078171660286737L, 10996499521724154814L, 16093985986286963530L, 16766909009904263373L, 14839154457829672204L]
[11587026780651614200L, 15021937598530772725L, 15868866460927972584L, 15467607824616956496L, 14690610708962751769L, 10576695980117858784L, 18216253415550855103L, 12495372309443204561L, 14722657556439600950L, 17590927718132545111L, 16460099566390145012L, 9788055584606177695L, 11607372032391767856L]
[16321094418294340979L, 17588640210809273009L, 9762339183599918296L, 17469791930754309180L, 15183069414014667190L, 14868079352677691450L, 13456952426363449861L, 10033879638512161409L, 11418727023387458734L, 14942429546892123183L, 11290284899675280660L, 17944168548511780534L, 17993742807911701183L]
[17499583679267897017L, 13289066365432737099L, 13489680204976692225L, 11517410788722821863L, 16902886761395155289L, 16305408140746924454L, 17077283577386916088L, 18148158317558697656L, 16394817757769341219L, 14055826019232737160L, 16756158345656569793L, 15433830499719350614L, 15518116334547447424L]
[13688676496366219456L, 12789527273047670044L, 13843787784083286164L, 9329464570596888864L, 10174010981788299904L, 17787392609025560195L, 14222041269736406336L, 11220669680691179369L, 16137183378050896289L, 18188641964183618798L, 11477859662650775188L, 13028865728159094148L, 15378645314885793419L]
[10043074350666986337L, 12753885694524509083L, 12490102749048548311L, 13859829452164725343L, 9383530749623439733L, 13048556455815938920L, 9805058135630007179L, 14072926536972469803L, 18331097747847016502L, 15772241298066609664L, 13642246456147578311L, 16337035977244840685L, 10632598585639863204L]
[13143839309636099736L, 11976944240236046790L, 14203306080561716902L, 9812055740367141406L, 11331183408592338925L, 16745448142653212373L, 15199865538143553923L, 18106102180306914370L, 12230803142529303454L, 9543593948847585063L, 15271021677128850727L, 18228319834464378592L, 11351646729953037999L]
[15836730470355323447L, 9967175803759221820L, 10049050310480875165L, 14419784464835697064L, 14350390991872164048L, 14232201755956901452L, 11201897167152020637L, 9355701681626738434L, 17276646605111151745L, 17345640134238682164L, 9241018822153169557L, 10354082211390390349L, 11722997092112522734L]
[11307043699418165837L, 16577589320968477245L, 15782409512204069533L, 14086939546401590002L, 18396454484661629917L, 17373553094030819746L, 10815641225858537121L, 17310989331251524404L, 17415065900869581250L, 18300718927279898710L, 17693378966686400227L, 18390156589237019334L, 14803630305613264996L]
[10231435938646059874L, 12887913361146159730L, 10908277967923076029L, 12367702367735417261L, 11308833591103408884L, 10711949160156300607L, 15820756696241773469L, 17644220437761750818L, 15046542622584994264L, 13276887215790603102L, 9496198432116739346L, 14747437550275457858L, 11807275802894839070L]
[17163626729238131003L, 12320857504142845947L, 13262803296849684680L, 14809159900169230065L, 15470866916777287033L, 18098159154378236872L, 12723297286269357207L, 16070085911430150549L, 9783179273726102602L, 16178111021653726440L, 17781476522837709354L, 10653614777976827026L, 12709783394480687241L]
[10062865982333878216L, 13134313365469602844L, 9949628811835666561L, 13740914231663393480L, 10538873845706357094L, 12554642391322753190L, 12245019626150605846L, 17739541628975624646L, 10381529095824018317L, 13318870063401318560L, 17099529762388131617L, 10319819671891279035L, 15643244786510560580L]
[13349171811080704230L, 17076975944136687474L, 17904039950512416845L, 10084532866603263908L, 12575527095945576720L, 15432140254427031004L, 12681578114692577787L, 15698330134656603785L, 15528589388853614833L, 17215320508548581235L, 17311362390131316276L, 14393474918107665287L, 13320104880539089414L]
[9879490245703246907L, 11775337963094762917L, 14435002014937725972L, 11806177377690668238L, 15584517501600138183L, 17938332177294750830L, 10625698269759005628L, 11486215917541447037L, 17826520294776368661L, 10459736995295918517L, 12783372912070340906L, 15474948735957097158L, 15247521895745384105L]
